case_id,district,project_category,land_category,area_acres,owner_count,circle_rate_lakh_acre,awarded_compensation_cr,is_anomaly,anomaly_type
CMP-1321,Gautam Buddha Nagar,Industrial,commercial,44.64,8,123.63,207.863,0,NORMAL
CMP-1322,Palghar,Aviation,residential,1.5,8,28.19,1.065,0,NORMAL
CMP-1323,Ahmedabad,Aviation,agricultural,3.43,8,71.3,4.394,0,NORMAL
CMP-1324,Thane,Energy,agricultural,5.87,8,126.1,16.311,0,NORMAL
CMP-1325,Sonnagar,Water,commercial,34.77,7,20.06,20.592,0,NORMAL
CMP-1326,Ahmedabad,Energy,commercial,32.26,4,95.05,54.208,1,UNDER_VALUED
CMP-1327,Navsari,Railways,residential,30.67,4,49.16,32.818,0,NORMAL
CMP-1328,Palghar,Highways,commercial,37.95,6,48.24,51.706,0,NORMAL
CMP-1329,Dankuni,Highways,commercial,32.51,6,58.15,72.655,0,NORMAL
CMP-1330,Panna,Energy,residential,17.77,3,19.27,7.499,0,NORMAL
CMP-1331,Ahmedabad,Energy,residential,36.82,1,79.11,60.083,0,NORMAL
CMP-1332,Navsari,Industrial,agricultural,23.37,8,32.78,16.352,0,NORMAL
CMP-1333,Palghar,Highways,agricultural,26.31,2,48.71,22.701,0,NORMAL
CMP-1334,Thane,Highways,agricultural,7.54,7,94.97,14.106,0,NORMAL
CMP-1335,Raigad,Railways,commercial,9.45,3,33.62,9.869,0,NORMAL
CMP-1336,Sonnagar,Aviation,residential,38.86,3,23.2,22.176,0,NORMAL
CMP-1337,Navsari,Aviation,residential,16.92,6,37.24,14.631,0,NORMAL
CMP-1338,Ahmedabad,Aviation,residential,40.02,3,113.94,92.634,0,NORMAL
CMP-1339,Panna,Energy,commercial,42.77,8,25.92,35.726,0,NORMAL
CMP-1340,Surat,Aviation,agricultural,19.49,5,58.92,22.805,0,NORMAL
CMP-1341,Dankuni,Railways,residential,7.37,2,46.32,8.493,0,NORMAL
CMP-1342,Ahmedabad,Industrial,commercial,14.38,2,67.17,40.274,0,NORMAL
CMP-1343,Thane,Aviation,agricultural,9.3,6,68.97,12.981,0,NORMAL
CMP-1344,Sonnagar,Highways,agricultural,19.02,6,20.09,7.831,0,NORMAL
CMP-1345,Sonnagar,Highways,agricultural,4.65,3,29.48,2.713,0,NORMAL
CMP-1346,Hooghly,Energy,commercial,29.82,4,53.94,68.376,0,NORMAL
CMP-1347,Surat,Energy,commercial,19.22,6,45.11,35.323,0,NORMAL
CMP-1348,Sonnagar,Water,agricultural,20.33,3,30.62,11.759,0,NORMAL
CMP-1349,Ahmedabad,Aviation,agricultural,17.48,6,104.69,38.15,0,NORMAL
CMP-1350,Gautam Buddha Nagar,Aviation,commercial,19.18,6,70.79,116.87,1,OVER_VALUED
CMP-1351,Valsad,Energy,agricultural,11.58,3,46.3,10.647,0,NORMAL
CMP-1352,Gautam Buddha Nagar,Highways,residential,8.7,6,66.47,14.064,0,NORMAL
CMP-1353,Ahmedabad,Highways,residential,31.28,4,92.91,73.92,0,NORMAL
CMP-1354,Navsari,Highways,commercial,37.86,8,48.5,66.631,0,NORMAL
CMP-1355,Valsad,Railways,residential,5.21,5,35.11,4.406,0,NORMAL
CMP-1356,Gautam Buddha Nagar,Water,agricultural,15.65,1,126.95,38.657,0,NORMAL
CMP-1357,Hooghly,Industrial,residential,41.09,7,38.34,36.232,0,NORMAL
CMP-1358,Sonnagar,Railways,agricultural,20.82,2,18.73,8.12,0,NORMAL
CMP-1359,Surat,Water,commercial,12.53,5,52.93,26.348,0,NORMAL
CMP-1360,Raigad,Highways,commercial,26.98,3,57.91,45.229,0,NORMAL
CMP-1361,Sonnagar,Energy,agricultural,27.16,8,27.79,14.614,0,NORMAL
CMP-1362,Panna,Industrial,residential,22.36,6,19.43,9.701,0,NORMAL
CMP-1363,Ahmedabad,Energy,agricultural,42.06,2,61.59,51.522,0,NORMAL
CMP-1364,Surat,Highways,residential,34.12,4,78.09,65.084,0,NORMAL
CMP-1365,Gautam Buddha Nagar,Aviation,commercial,20.8,4,127.06,102.736,0,NORMAL
CMP-1366,Panna,Industrial,commercial,30.39,7,24.32,26.009,0,NORMAL
CMP-1367,Valsad,Highways,commercial,32.62,5,26.28,31.469,0,NORMAL
CMP-1368,Panna,Water,agricultural,44.66,7,21.79,20.297,0,NORMAL
CMP-1369,Thane,Water,agricultural,21.7,8,78.45,38.206,0,NORMAL
CMP-1370,Panna,Water,residential,14.24,1,14.22,4.34,0,NORMAL
CMP-1371,Hooghly,Railways,residential,8.66,7,54.21,12.274,0,NORMAL
CMP-1372,Palghar,Energy,agricultural,19.49,1,32.21,14.597,0,NORMAL
CMP-1373,Panna,Water,agricultural,3.78,6,21.59,1.715,0,NORMAL
CMP-1374,Hooghly,Highways,commercial,35.25,7,36.36,42.239,0,NORMAL
CMP-1375,Palghar,Aviation,commercial,33.91,3,35.02,36.763,0,NORMAL
CMP-1376,Gautam Buddha Nagar,Highways,commercial,14.45,6,92.4,44.945,0,NORMAL
CMP-1377,Navsari,Highways,residential,4.56,5,32.79,3.787,0,NORMAL
CMP-1378,Dankuni,Railways,commercial,8.4,3,47.56,12.953,0,NORMAL
CMP-1379,Dankuni,Railways,commercial,19.34,7,45.93,36.164,0,NORMAL
CMP-1380,Raigad,Railways,residential,25.7,8,57.77,36.717,0,NORMAL
CMP-1381,Hooghly,Aviation,commercial,16.12,6,55.1,28.184,0,NORMAL
CMP-1382,Panna,Railways,commercial,6.67,7,24.97,5.063,0,NORMAL
CMP-1383,Hooghly,Industrial,agricultural,24.75,5,46.45,26.773,0,NORMAL
CMP-1384,Surat,Aviation,commercial,12.5,6,65.14,31.495,0,NORMAL
CMP-1385,Navsari,Industrial,residential,14.63,6,40.26,13.146,0,NORMAL
CMP-1386,Navsari,Highways,residential,42.06,5,35.32,38.752,0,NORMAL
CMP-1387,Panna,Aviation,agricultural,1.44,6,23.9,0.577,0,NORMAL
CMP-1388,Valsad,Highways,commercial,34.11,1,36.52,42.976,0,NORMAL
CMP-1389,Ahmedabad,Water,residential,14.83,4,110.06,39.081,0,NORMAL
CMP-1390,Ahmedabad,Highways,commercial,13.57,4,94.89,52.319,0,NORMAL
CMP-1391,Hooghly,Water,agricultural,26.75,2,32.39,15.373,0,NORMAL
CMP-1392,Gautam Buddha Nagar,Industrial,commercial,12.2,1,61.86,28.355,0,NORMAL
CMP-1393,Raigad,Industrial,agricultural,2.02,1,51.89,2.158,0,NORMAL
CMP-1394,Hooghly,Highways,commercial,27.13,1,52.2,54.607,0,NORMAL
CMP-1395,Sonnagar,Energy,agricultural,4.04,4,34.99,3.071,0,NORMAL
CMP-1396,Surat,Highways,commercial,26.21,5,75.88,65.278,0,NORMAL
CMP-1397,Palghar,Energy,commercial,18.45,8,35.3,23.494,0,NORMAL
CMP-1398,Thane,Railways,residential,1.0,6,71.27,2.028,0,NORMAL
CMP-1399,Hooghly,Energy,agricultural,39.5,5,44.67,33.463,0,NORMAL
CMP-1400,Sonnagar,Water,residential,8.07,2,31.09,5.927,0,NORMAL
CMP-1401,Dankuni,Highways,commercial,42.58,5,40.96,51.634,0,NORMAL
CMP-1402,Navsari,Aviation,agricultural,29.49,1,38.61,20.766,0,NORMAL
CMP-1403,Dankuni,Water,commercial,1.71,1,36.46,2.174,0,NORMAL
CMP-1404,Dankuni,Water,residential,25.53,5,41.47,29.462,0,NORMAL
CMP-1405,Panna,Highways,agricultural,9.79,1,18.46,4.095,0,NORMAL
CMP-1406,Palghar,Highways,agricultural,42.45,7,25.87,20.101,0,NORMAL
CMP-1407,Palghar,Aviation,commercial,6.71,7,25.21,4.715,0,NORMAL
CMP-1408,Valsad,Industrial,residential,27.96,6,32.76,25.054,0,NORMAL
CMP-1409,Raigad,Water,agricultural,36.45,4,52.13,32.98,0,NORMAL
CMP-1410,Navsari,Railways,residential,36.37,7,41.53,31.342,0,NORMAL
CMP-1411,Hooghly,Energy,residential,27.82,2,34.72,22.398,0,NORMAL
CMP-1412,Palghar,Railways,agricultural,19.71,6,41.01,17.671,0,NORMAL
CMP-1413,Ahmedabad,Aviation,agricultural,39.73,6,89.4,64.733,0,NORMAL
CMP-1414,Panna,Aviation,residential,6.03,1,26.19,3.29,0,NORMAL
CMP-1415,Sonnagar,Energy,residential,38.57,6,26.87,24.961,0,NORMAL
CMP-1416,Gautam Buddha Nagar,Industrial,agricultural,35.68,7,112.44,92.574,0,NORMAL
CMP-1417,Hooghly,Water,commercial,20.27,2,58.92,67.949,1,OVER_VALUED
CMP-1418,Ahmedabad,Aviation,agricultural,10.35,4,103.41,24.255,0,NORMAL
CMP-1419,Gautam Buddha Nagar,Water,residential,41.56,5,83.78,90.358,0,NORMAL
CMP-1420,Hooghly,Highways,commercial,2.42,2,52.38,4.977,0,NORMAL
CMP-1421,Dankuni,Industrial,commercial,34.95,6,64.16,78.929,0,NORMAL
CMP-1422,Ahmedabad,Industrial,residential,11.86,5,115.38,36.406,0,NORMAL
CMP-1423,Panna,Highways,residential,9.57,1,15.85,4.42,0,NORMAL
CMP-1424,Dankuni,Highways,agricultural,34.08,2,65.37,40.821,0,NORMAL
CMP-1425,Ahmedabad,Aviation,agricultural,40.23,3,106.94,90.093,0,NORMAL
CMP-1426,Ahmedabad,Highways,residential,13.07,6,117.17,45.007,0,NORMAL
CMP-1427,Ahmedabad,Water,agricultural,3.01,1,59.22,3.633,0,NORMAL
CMP-1428,Ahmedabad,Water,agricultural,7.7,1,97.56,17.441,0,NORMAL
CMP-1429,Panna,Industrial,commercial,26.23,3,27.66,25.136,0,NORMAL
CMP-1430,Ahmedabad,Industrial,agricultural,25.13,2,68.95,34.791,0,NORMAL
CMP-1431,Dankuni,Water,commercial,43.62,5,40.04,60.389,0,NORMAL
CMP-1432,Hooghly,Industrial,residential,42.36,5,48.54,58.548,0,NORMAL
CMP-1433,Hooghly,Aviation,residential,10.91,7,49.8,12.755,0,NORMAL
CMP-1434,Dankuni,Railways,commercial,36.3,2,52.59,74.647,0,NORMAL
CMP-1435,Raigad,Water,agricultural,20.85,3,37.87,17.864,0,NORMAL
CMP-1436,Sonnagar,Aviation,commercial,41.23,2,35.34,47.723,0,NORMAL
CMP-1437,Palghar,Highways,agricultural,8.62,4,29.1,5.322,0,NORMAL
CMP-1438,Raigad,Energy,residential,17.12,7,62.9,25.835,0,NORMAL
CMP-1439,Ahmedabad,Industrial,residential,34.3,2,119.18,120.103,0,NORMAL
CMP-1440,Raigad,Industrial,residential,34.23,5,38.51,35.588,0,NORMAL
CMP-1441,Gautam Buddha Nagar,Aviation,agricultural,19.99,8,120.91,50.402,0,NORMAL
CMP-1442,Sonnagar,Water,agricultural,12.66,4,20.24,4.909,0,NORMAL
CMP-1443,Ahmedabad,Railways,residential,18.14,3,69.45,32.292,0,NORMAL
CMP-1444,Gautam Buddha Nagar,Water,agricultural,44.5,5,125.39,115.561,0,NORMAL
CMP-1445,Gautam Buddha Nagar,Railways,agricultural,13.07,4,71.48,15.11,0,NORMAL
CMP-1446,Gautam Buddha Nagar,Railways,agricultural,33.57,5,97.7,59.612,0,NORMAL
CMP-1447,Sonnagar,Highways,agricultural,42.21,3,29.17,27.978,0,NORMAL
CMP-1448,Palghar,Railways,commercial,23.84,8,34.9,32.974,0,NORMAL
CMP-1449,Ahmedabad,Railways,agricultural,19.46,1,93.75,40.579,0,NORMAL
CMP-1450,Palghar,Energy,residential,4.87,5,27.33,3.388,0,NORMAL
CMP-1451,Sonnagar,Industrial,agricultural,3.13,4,31.75,1.832,0,NORMAL
CMP-1452,Raigad,Energy,commercial,29.64,6,61.17,54.482,0,NORMAL
CMP-1453,Gautam Buddha Nagar,Water,commercial,10.83,7,66.52,23.071,0,NORMAL
CMP-1454,Dankuni,Railways,residential,44.21,8,64.55,73.249,0,NORMAL
CMP-1455,Sonnagar,Water,agricultural,32.38,1,25.34,16.583,0,NORMAL
CMP-1456,Valsad,Highways,residential,21.95,6,24.98,13.429,0,NORMAL
CMP-1457,Gautam Buddha Nagar,Industrial,commercial,20.04,5,71.84,48.777,0,NORMAL
CMP-1458,Hooghly,Water,residential,10.82,7,55.88,15.178,0,NORMAL
CMP-1459,Thane,Water,agricultural,1.91,1,93.1,3.287,0,NORMAL
CMP-1460,Surat,Railways,residential,17.02,6,69.47,29.098,0,NORMAL
CMP-1461,Ahmedabad,Water,residential,32.63,6,109.87,83.718,0,NORMAL
CMP-1462,Hooghly,Highways,residential,7.68,7,49.09,9.009,0,NORMAL
CMP-1463,Gautam Buddha Nagar,Industrial,agricultural,40.92,2,124.76,109.667,0,NORMAL
CMP-1464,Valsad,Aviation,residential,16.25,8,23.44,9.496,0,NORMAL
CMP-1465,Navsari,Energy,residential,6.91,5,46.5,7.584,0,NORMAL
CMP-1466,Dankuni,Water,commercial,4.24,7,47.6,6.037,0,NORMAL
CMP-1467,Ahmedabad,Highways,residential,10.42,1,97.28,24.817,0,NORMAL
CMP-1468,Valsad,Water,residential,20.92,6,26.71,16.922,0,NORMAL
CMP-1469,Palghar,Railways,commercial,7.98,8,41.88,10.68,0,NORMAL
CMP-1470,Dankuni,Water,residential,16.01,5,54.41,23.575,0,NORMAL
CMP-1471,Valsad,Highways,commercial,18.55,2,42.56,28.324,0,NORMAL
CMP-1472,Hooghly,Aviation,residential,37.55,3,46.3,47.067,0,NORMAL
CMP-1473,Valsad,Water,commercial,14.95,3,40.99,22.136,0,NORMAL
CMP-1474,Hooghly,Water,commercial,37.28,5,40.99,56.153,0,NORMAL
CMP-1475,Thane,Energy,agricultural,24.42,8,135.45,61.547,0,NORMAL
CMP-1476,Valsad,Aviation,commercial,36.64,1,35.08,40.115,0,NORMAL
CMP-1477,Gautam Buddha Nagar,Railways,agricultural,38.15,1,84.03,66.614,0,NORMAL
CMP-1478,Hooghly,Aviation,residential,23.83,8,45.56,32.103,0,NORMAL
CMP-1479,Valsad,Energy,agricultural,37.23,2,42.29,30.435,0,NORMAL
CMP-1480,Surat,Aviation,residential,4.16,2,57.67,7.462,0,NORMAL
CMP-1481,Thane,Water,commercial,23.27,7,66.42,61.789,0,NORMAL
CMP-1482,Ahmedabad,Industrial,residential,13.5,6,74.09,48.132,1,OVER_VALUED
CMP-1483,Dankuni,Highways,commercial,6.76,3,44.65,10.268,0,NORMAL
CMP-1484,Ahmedabad,Aviation,residential,5.23,8,71.67,9.379,0,NORMAL
CMP-1485,Navsari,Energy,residential,21.36,8,30.82,17.498,0,NORMAL
CMP-1486,Dankuni,Water,agricultural,26.99,5,63.56,38.954,0,NORMAL
CMP-1487,Hooghly,Energy,residential,39.71,1,53.43,52.853,0,NORMAL
CMP-1488,Raigad,Water,agricultural,41.99,5,41.97,35.014,0,NORMAL
CMP-1489,Panna,Highways,residential,14.22,1,17.02,6.287,0,NORMAL
CMP-1490,Surat,Water,agricultural,10.96,2,66.73,14.438,0,NORMAL
CMP-1491,Thane,Aviation,residential,44.35,7,82.23,87.359,0,NORMAL
CMP-1492,Dankuni,Highways,commercial,26.35,4,67.92,53.891,0,NORMAL
CMP-1493,Navsari,Highways,agricultural,18.65,1,45.33,21.243,0,NORMAL
CMP-1494,Surat,Water,commercial,25.67,4,53.75,52.376,0,NORMAL
CMP-1495,Gautam Buddha Nagar,Railways,commercial,11.27,6,92.4,39.753,0,NORMAL
CMP-1496,Panna,Energy,residential,37.26,3,19.87,17.787,0,NORMAL
CMP-1497,Raigad,Railways,residential,28.0,3,38.51,24.621,0,NORMAL
CMP-1498,Thane,Railways,commercial,12.75,1,103.82,56.333,0,NORMAL
CMP-1499,Surat,Aviation,residential,39.02,1,45.2,38.519,0,NORMAL
CMP-1500,Palghar,Aviation,residential,13.79,2,47.89,15.788,0,NORMAL
CMP-1501,Surat,Energy,agricultural,38.76,2,82.0,65.006,0,NORMAL
CMP-1502,Dankuni,Highways,agricultural,38.08,1,50.13,34.397,0,NORMAL
CMP-1503,Gautam Buddha Nagar,Energy,agricultural,19.08,8,83.16,30.843,0,NORMAL
CMP-1504,Valsad,Industrial,commercial,0.63,5,24.25,0.63,0,NORMAL
CMP-1505,Navsari,Highways,commercial,34.88,1,37.96,42.135,0,NORMAL
CMP-1506,Valsad,Highways,commercial,22.48,6,37.04,25.197,0,NORMAL
CMP-1507,Dankuni,Industrial,residential,6.43,7,48.99,7.461,0,NORMAL
CMP-1508,Hooghly,Railways,agricultural,26.71,3,58.19,28.391,0,NORMAL
CMP-1509,Raigad,Aviation,residential,27.56,5,32.46,24.588,0,NORMAL
CMP-1510,Ahmedabad,Highways,commercial,36.88,5,62.95,81.59,0,NORMAL
CMP-1511,Surat,Industrial,commercial,21.52,7,71.11,66.713,0,NORMAL
CMP-1512,Navsari,Energy,agricultural,30.11,8,31.34,19.553,0,NORMAL
CMP-1513,Sonnagar,Highways,agricultural,10.67,8,19.46,4.221,0,NORMAL
CMP-1514,Valsad,Highways,residential,21.05,1,29.93,31.126,1,OVER_VALUED
CMP-1515,Navsari,Water,commercial,29.13,7,51.07,46.473,0,NORMAL
CMP-1516,Ahmedabad,Energy,commercial,1.64,7,69.2,3.638,0,NORMAL
CMP-1517,Raigad,Energy,agricultural,44.26,1,34.62,31.405,0,NORMAL
CMP-1518,Navsari,Water,agricultural,17.81,4,46.86,15.709,0,NORMAL
CMP-1519,Raigad,Industrial,commercial,25.35,3,45.09,33.602,0,NORMAL
CMP-1520,Palghar,Highways,agricultural,40.73,8,46.67,40.142,0,NORMAL
CMP-1521,Dankuni,Water,residential,38.02,6,65.85,68.432,0,NORMAL
CMP-1522,Surat,Railways,commercial,43.03,1,77.53,113.241,0,NORMAL
CMP-1523,Raigad,Highways,commercial,3.35,5,43.32,4.866,0,NORMAL
CMP-1524,Ahmedabad,Water,commercial,0.73,2,116.58,3.304,0,NORMAL
CMP-1525,Hooghly,Aviation,residential,4.79,6,50.94,6.489,0,NORMAL
CMP-1526,Raigad,Aviation,agricultural,20.15,5,51.08,20.327,0,NORMAL
CMP-1527,Hooghly,Water,residential,40.18,5,38.93,35.482,0,NORMAL
CMP-1528,Valsad,Railways,commercial,14.55,6,42.04,17.963,0,NORMAL
CMP-1529,Raigad,Aviation,residential,6.76,2,33.71,4.936,0,NORMAL
CMP-1530,Hooghly,Railways,residential,23.95,8,58.27,29.898,0,NORMAL
CMP-1531,Sonnagar,Highways,commercial,23.55,3,25.47,21.215,0,NORMAL
CMP-1532,Raigad,Highways,commercial,2.4,5,64.19,4.57,0,NORMAL
CMP-1533,Ahmedabad,Aviation,agricultural,13.7,6,92.15,11.106,1,UNDER_VALUED
CMP-1534,Dankuni,Aviation,agricultural,8.85,3,67.46,17.893,1,OVER_VALUED
CMP-1535,Dankuni,Water,agricultural,3.99,8,46.63,4.067,0,NORMAL
CMP-1536,Ahmedabad,Highways,commercial,41.35,2,79.06,117.475,0,NORMAL
CMP-1537,Raigad,Aviation,agricultural,32.82,1,32.73,20.724,0,NORMAL
CMP-1538,Hooghly,Railways,residential,10.46,8,52.01,12.532,0,NORMAL
CMP-1539,Sonnagar,Highways,commercial,1.56,1,31.51,1.586,0,NORMAL
CMP-1540,Navsari,Railways,residential,14.22,2,34.7,12.147,0,NORMAL
CMP-1541,Sonnagar,Industrial,agricultural,28.49,3,28.17,17.153,0,NORMAL
CMP-1542,Palghar,Aviation,residential,41.98,3,30.9,33.462,0,NORMAL
CMP-1543,Navsari,Water,commercial,42.39,2,46.34,68.915,0,NORMAL
CMP-1544,Gautam Buddha Nagar,Railways,residential,44.79,6,126.95,133.781,0,NORMAL
CMP-1545,Panna,Aviation,residential,9.01,2,15.72,3.228,0,NORMAL
CMP-1546,Raigad,Industrial,commercial,14.29,6,61.22,28.086,0,NORMAL
CMP-1547,Dankuni,Aviation,residential,43.43,5,58.54,65.153,0,NORMAL
CMP-1548,Valsad,Industrial,agricultural,9.55,8,39.94,7.261,0,NORMAL
CMP-1549,Panna,Water,commercial,29.41,8,24.87,27.545,0,NORMAL
CMP-1550,Navsari,Railways,commercial,21.73,2,41.55,36.738,0,NORMAL
CMP-1551,Panna,Water,agricultural,6.66,5,18.21,2.641,0,NORMAL
CMP-1552,Navsari,Energy,residential,16.82,6,28.6,13.541,0,NORMAL
CMP-1553,Raigad,Water,commercial,31.89,8,31.77,37.838,0,NORMAL
CMP-1554,Surat,Railways,residential,31.09,1,47.58,31.302,0,NORMAL
CMP-1555,Navsari,Energy,agricultural,16.25,7,36.32,11.828,0,NORMAL
CMP-1556,Navsari,Railways,residential,1.67,5,38.36,1.521,0,NORMAL
CMP-1557,Sonnagar,Highways,agricultural,0.44,4,35.04,0.327,0,NORMAL
CMP-1558,Valsad,Railways,agricultural,32.32,1,43.7,29.333,0,NORMAL
CMP-1559,Gautam Buddha Nagar,Industrial,commercial,19.17,5,103.07,57.668,0,NORMAL
CMP-1560,Surat,Highways,agricultural,16.22,4,53.41,19.121,0,NORMAL
CMP-1561,Dankuni,Industrial,commercial,21.6,8,59.78,45.855,0,NORMAL
CMP-1562,Raigad,Aviation,residential,29.76,6,44.27,36.866,0,NORMAL
CMP-1563,Raigad,Highways,residential,0.95,5,54.21,1.33,0,NORMAL
CMP-1564,Panna,Water,agricultural,15.8,2,19.47,6.664,0,NORMAL
CMP-1565,Thane,Railways,residential,27.19,6,105.48,75.796,0,NORMAL
CMP-1566,Palghar,Railways,residential,16.82,1,37.61,16.593,0,NORMAL
CMP-1567,Ahmedabad,Highways,residential,8.7,1,99.59,21.108,0,NORMAL
CMP-1568,Panna,Energy,commercial,5.73,8,25.88,4.989,0,NORMAL
CMP-1569,Thane,Industrial,commercial,6.29,4,88.01,17.77,0,NORMAL
CMP-1570,Gautam Buddha Nagar,Railways,residential,25.95,6,120.59,70.609,0,NORMAL
CMP-1571,Valsad,Highways,residential,25.47,5,41.62,24.204,0,NORMAL
CMP-1572,Sonnagar,Railways,agricultural,16.46,6,31.51,9.137,0,NORMAL
CMP-1573,Gautam Buddha Nagar,Railways,commercial,41.2,8,69.83,86.261,0,NORMAL
CMP-1574,Ahmedabad,Railways,commercial,23.22,1,116.62,75.334,0,NORMAL
CMP-1575,Navsari,Water,agricultural,35.46,4,36.33,26.908,0,NORMAL
CMP-1576,Dankuni,Railways,commercial,26.77,4,43.11,39.377,0,NORMAL
CMP-1577,Panna,Aviation,agricultural,3.45,4,29.94,2.46,0,NORMAL
CMP-1578,Raigad,Water,commercial,12.28,7,48.87,17.97,0,NORMAL
CMP-1579,Sonnagar,Energy,agricultural,24.55,1,22.87,10.705,0,NORMAL
CMP-1580,Valsad,Highways,residential,1.77,6,31.42,1.422,0,NORMAL
CMP-1581,Hooghly,Highways,agricultural,17.42,4,34.3,13.138,0,NORMAL
CMP-1582,Sonnagar,Water,agricultural,12.77,5,28.12,7.869,0,NORMAL
CMP-1583,Surat,Energy,agricultural,2.49,8,61.96,3.095,0,NORMAL
CMP-1584,Navsari,Highways,residential,27.28,4,46.11,32.576,0,NORMAL
CMP-1585,Valsad,Highways,residential,16.15,3,46.86,20.793,0,NORMAL
CMP-1586,Dankuni,Highways,residential,16.31,5,61.58,27.448,0,NORMAL
CMP-1587,Surat,Highways,agricultural,28.17,1,83.37,43.518,0,NORMAL
CMP-1588,Navsari,Railways,commercial,4.51,3,35.26,11.495,1,OVER_VALUED
CMP-1589,Navsari,Energy,residential,37.42,4,37.18,35.142,0,NORMAL
CMP-1590,Surat,Railways,commercial,8.01,8,70.75,21.873,0,NORMAL
CMP-1591,Gautam Buddha Nagar,Highways,agricultural,27.42,8,65.28,34.53,0,NORMAL
CMP-1592,Valsad,Water,agricultural,11.19,1,43.16,8.979,0,NORMAL
CMP-1593,Panna,Energy,agricultural,22.6,1,22.54,10.617,0,NORMAL
CMP-1594,Surat,Energy,agricultural,2.97,4,68.91,4.026,0,NORMAL
CMP-1595,Sonnagar,Highways,residential,22.31,4,21.11,10.724,0,NORMAL
CMP-1596,Sonnagar,Energy,commercial,17.12,6,28.59,15.121,0,NORMAL
CMP-1597,Dankuni,Aviation,residential,42.08,5,44.14,51.456,0,NORMAL
CMP-1598,Raigad,Aviation,agricultural,16.29,3,57.5,16.889,0,NORMAL
CMP-1599,Gautam Buddha Nagar,Water,residential,10.19,1,113.12,28.533,0,NORMAL
CMP-1600,Sonnagar,Highways,residential,26.63,2,32.04,21.552,0,NORMAL
CMP-1601,Surat,Energy,residential,10.91,8,60.07,14.298,0,NORMAL
CMP-1602,Gautam Buddha Nagar,Aviation,residential,16.25,8,87.1,33.452,0,NORMAL
CMP-1603,Surat,Aviation,residential,23.32,6,81.16,41.611,0,NORMAL
CMP-1604,Panna,Railways,agricultural,33.43,7,27.96,21.665,0,NORMAL
CMP-1605,Panna,Water,residential,5.07,6,20.32,2.668,0,NORMAL
CMP-1606,Dankuni,Energy,residential,22.95,4,39.46,21.914,0,NORMAL
CMP-1607,Valsad,Aviation,commercial,27.21,7,24.73,21.76,0,NORMAL
CMP-1608,Surat,Highways,agricultural,0.51,3,77.16,0.71,0,NORMAL
CMP-1609,Gautam Buddha Nagar,Energy,agricultural,2.39,4,67.67,3.645,0,NORMAL
CMP-1610,Sonnagar,Industrial,residential,19.17,6,32.51,14.304,0,NORMAL
CMP-1611,Thane,Water,agricultural,6.2,3,120.38,15.876,0,NORMAL
CMP-1612,Valsad,Railways,commercial,40.44,2,40.11,58.649,0,NORMAL
CMP-1613,Ahmedabad,Aviation,residential,0.61,8,76.1,1.165,0,NORMAL
CMP-1614,Palghar,Railways,commercial,21.55,6,38.87,31.591,0,NORMAL
CMP-1615,Palghar,Energy,agricultural,35.86,7,41.62,25.992,0,NORMAL
CMP-1616,Palghar,Highways,residential,38.26,6,36.5,40.366,0,NORMAL
CMP-1617,Surat,Industrial,agricultural,27.9,8,54.44,32.13,0,NORMAL
CMP-1618,Thane,Industrial,commercial,38.42,3,107.57,157.476,0,NORMAL
CMP-1619,Valsad,Water,commercial,5.34,6,40.54,7.937,0,NORMAL
CMP-1620,Navsari,Water,agricultural,30.56,8,51.28,12.16,1,UNDER_VALUED
CMP-1621,Surat,Energy,agricultural,10.32,3,75.06,15.97,0,NORMAL
CMP-1622,Hooghly,Highways,agricultural,34.48,1,35.6,23.851,0,NORMAL
CMP-1623,Panna,Highways,residential,0.89,6,18.78,0.478,0,NORMAL
CMP-1624,Navsari,Railways,residential,13.74,8,49.04,17.575,0,NORMAL
CMP-1625,Raigad,Water,commercial,15.43,7,56.29,27.143,0,NORMAL
CMP-1626,Hooghly,Aviation,agricultural,39.02,5,33.46,23.808,0,NORMAL
CMP-1627,Gautam Buddha Nagar,Industrial,agricultural,17.09,3,81.28,26.226,0,NORMAL
CMP-1628,Sonnagar,Aviation,commercial,9.57,4,21.98,8.665,0,NORMAL
CMP-1629,Navsari,Industrial,agricultural,27.73,5,51.4,25.265,0,NORMAL
CMP-1630,Navsari,Energy,commercial,27.04,5,35.35,34.261,0,NORMAL
CMP-1631,Thane,Aviation,agricultural,30.68,1,139.2,83.539,0,NORMAL
CMP-1632,Valsad,Railways,residential,30.38,3,22.64,17.116,0,NORMAL
CMP-1633,Surat,Railways,residential,31.49,2,60.0,50.563,0,NORMAL
CMP-1634,Navsari,Industrial,agricultural,43.78,1,28.31,24.823,0,NORMAL
CMP-1635,Ahmedabad,Highways,agricultural,27.26,7,68.25,33.869,0,NORMAL
CMP-1636,Navsari,Aviation,residential,9.08,4,50.85,10.806,0,NORMAL
CMP-1637,Panna,Energy,commercial,30.67,1,27.88,25.737,0,NORMAL
CMP-1638,Raigad,Energy,residential,44.93,8,48.53,58.803,0,NORMAL
CMP-1639,Ahmedabad,Railways,agricultural,18.65,5,73.43,24.998,0,NORMAL
CMP-1640,Palghar,Water,agricultural,27.26,6,28.17,15.468,0,NORMAL
CMP-1641,Navsari,Railways,residential,41.33,4,40.06,71.806,1,OVER_VALUED
