stage_duration_days,district,project_category,objection_count,has_dispute,land_category,area_acres,owner_count,distance_from_hq_km,is_delayed,days_to_next_stage
68,Palghar,Energy,2,0,agricultural,33.1,3,25.5,0,100.0
251,Palghar,Aviation,2,0,residential,68.53,4,5.5,0,192.4
252,Raigad,Energy,0,0,residential,44.1,2,68.4,0,125.4
24,Navsari,Railways,0,0,agricultural,10.37,12,38.3,0,96.5
240,Dankuni,Energy,0,0,agricultural,3.24,11,51.5,0,131.8
67,Dankuni,Industrial,0,0,residential,4.67,1,6.5,0,60.5
117,Surat,Energy,8,1,agricultural,2.72,1,33.4,1,294.9
100,Surat,Highways,0,0,residential,41.24,3,32.0,0,64.0
76,Panna,Water,3,1,commercial,28.85,2,3.4,1,211.2
48,Surat,Water,0,0,agricultural,50.1,1,8.3,0,80.5
289,Gautam Buddha Nagar,Water,3,0,agricultural,45.75,5,91.2,0,153.2
83,Sonnagar,Water,1,0,residential,70.78,3,93.0,0,98.7
244,Thane,Industrial,1,0,residential,18.98,1,23.6,0,91.5
234,Navsari,Railways,1,0,residential,5.26,3,48.4,0,132.8
242,Dankuni,Highways,0,0,agricultural,22.61,11,75.2,1,145.9
27,Ahmedabad,Aviation,7,1,commercial,27.75,2,52.2,1,234.1
128,Surat,Aviation,0,0,residential,26.07,4,60.6,0,94.7
87,Surat,Highways,0,0,residential,14.31,2,24.0,0,78.1
116,Navsari,Railways,4,1,residential,48.67,3,28.5,1,255.1
199,Navsari,Water,0,0,agricultural,35.59,9,58.7,0,129.7
233,Hooghly,Highways,2,0,commercial,73.76,5,52.0,0,161.6
247,Ahmedabad,Water,1,0,commercial,38.73,3,14.7,0,134.7
271,Surat,Highways,0,0,agricultural,32.66,7,89.4,0,132.1
51,Hooghly,Energy,0,0,residential,73.77,4,88.7,0,112.3
275,Navsari,Aviation,1,0,commercial,29.77,1,62.5,1,116.1
200,Surat,Water,1,0,agricultural,55.95,11,15.8,0,129.3
97,Raigad,Energy,3,1,agricultural,51.73,7,39.0,0,225.5
99,Panna,Railways,0,0,commercial,24.53,5,63.2,0,92.4
70,Ahmedabad,Aviation,2,0,agricultural,27.88,3,27.0,0,128.1
101,Sonnagar,Energy,0,0,agricultural,6.05,12,40.9,0,107.1
206,Ahmedabad,Railways,4,1,agricultural,16.24,3,48.7,1,271.4
45,Surat,Railways,2,0,agricultural,15.75,14,40.0,0,108.5
165,Dankuni,Railways,3,1,agricultural,22.5,6,4.8,1,267.9
151,Palghar,Highways,0,0,agricultural,46.8,1,11.0,0,89.7
263,Gautam Buddha Nagar,Industrial,0,0,commercial,34.64,3,65.4,0,133.2
219,Surat,Energy,0,0,residential,28.8,3,77.0,1,107.5
28,Ahmedabad,Aviation,3,0,agricultural,22.72,12,71.9,0,152.8
278,Dankuni,Aviation,0,0,commercial,78.9,3,3.5,0,145.8
242,Sonnagar,Energy,9,1,residential,32.31,1,34.4,1,308.9
66,Hooghly,Aviation,0,0,residential,16.01,2,82.9,0,37.8
80,Sonnagar,Industrial,0,0,agricultural,66.67,9,93.8,0,116.1
291,Palghar,Water,5,1,residential,14.05,1,11.8,1,281.7
127,Valsad,Water,1,0,commercial,76.14,6,13.4,1,145.0
185,Sonnagar,Water,3,0,agricultural,61.42,10,8.0,1,213.7
210,Sonnagar,Aviation,2,0,residential,77.32,4,77.2,0,166.2
189,Palghar,Highways,3,0,agricultural,59.7,2,55.3,1,164.3
15,Ahmedabad,Industrial,1,0,residential,15.59,4,93.1,0,84.5
128,Dankuni,Railways,2,1,residential,43.29,4,31.4,1,213.5
248,Surat,Water,6,1,residential,12.1,1,57.7,1,333.5
259,Palghar,Energy,0,0,residential,23.67,4,7.5,0,108.6
130,Sonnagar,Railways,0,0,residential,69.3,2,81.7,0,82.2
295,Dankuni,Railways,0,0,agricultural,38.14,6,72.5,0,153.9
114,Navsari,Energy,1,0,residential,8.24,3,72.0,0,71.5
98,Sonnagar,Energy,0,0,commercial,38.85,2,21.5,0,65.8
67,Dankuni,Highways,4,0,commercial,12.23,4,65.2,0,131.0
41,Valsad,Water,10,1,agricultural,52.18,10,42.3,1,349.3
138,Surat,Highways,0,0,agricultural,47.89,3,62.7,0,113.6
252,Dankuni,Aviation,1,0,agricultural,22.38,11,43.4,1,156.1
275,Palghar,Water,9,1,residential,22.26,1,75.9,1,348.0
167,Dankuni,Aviation,0,0,commercial,5.55,5,19.2,0,88.2
265,Panna,Industrial,10,1,residential,57.24,1,72.1,1,378.1
107,Palghar,Railways,9,1,residential,64.14,1,5.6,1,292.0
32,Palghar,Industrial,3,1,commercial,40.74,3,91.9,1,254.4
168,Dankuni,Highways,10,1,agricultural,72.42,5,63.3,1,356.5
195,Sonnagar,Energy,1,0,residential,55.19,1,24.1,0,133.4
297,Surat,Railways,7,1,residential,22.55,4,8.9,1,338.9
57,Raigad,Water,1,0,commercial,75.25,2,51.8,0,108.9
113,Dankuni,Aviation,1,0,residential,52.0,2,41.0,0,147.3
141,Ahmedabad,Water,3,1,agricultural,42.75,11,53.0,1,277.2
89,Valsad,Energy,0,0,commercial,1.28,4,93.1,0,110.4
171,Palghar,Railways,2,0,residential,8.1,3,67.1,0,99.4
102,Gautam Buddha Nagar,Highways,2,0,agricultural,14.86,13,70.9,0,132.5
80,Gautam Buddha Nagar,Water,10,1,commercial,57.2,6,13.8,1,344.1
204,Thane,Aviation,0,0,residential,48.89,4,19.0,1,111.8
234,Panna,Energy,2,0,commercial,73.94,2,30.4,1,121.0
55,Ahmedabad,Energy,5,1,agricultural,75.62,3,55.5,1,262.0
275,Hooghly,Highways,0,0,commercial,40.08,6,94.8,1,117.8
112,Ahmedabad,Highways,2,0,residential,57.28,3,24.7,0,77.3
36,Panna,Aviation,4,0,residential,54.12,2,18.3,0,134.8
268,Valsad,Highways,0,0,commercial,9.5,6,25.2,0,114.3
262,Palghar,Energy,0,0,commercial,59.17,5,38.6,1,117.4
252,Dankuni,Industrial,2,0,agricultural,5.07,1,59.2,0,143.3
110,Thane,Energy,0,0,residential,34.75,2,9.9,0,77.5
94,Palghar,Water,0,0,agricultural,37.92,6,29.8,0,94.6
239,Navsari,Highways,7,1,commercial,59.89,1,35.4,1,302.5
83,Surat,Energy,2,0,agricultural,72.13,3,64.0,0,105.6
265,Navsari,Highways,2,0,commercial,57.29,3,71.9,0,141.8
82,Sonnagar,Aviation,3,1,commercial,63.52,2,16.5,0,228.9
190,Surat,Highways,1,0,residential,1.14,4,28.9,0,109.6
276,Surat,Industrial,6,1,agricultural,61.45,14,26.5,1,329.2
67,Ahmedabad,Railways,1,0,commercial,14.9,5,60.5,0,92.5
113,Ahmedabad,Highways,0,0,commercial,49.51,1,82.4,0,96.6
128,Sonnagar,Aviation,1,0,agricultural,41.03,11,6.8,0,142.8
141,Valsad,Aviation,0,0,commercial,3.75,1,63.4,0,83.5
235,Navsari,Industrial,9,1,agricultural,29.4,5,12.4,1,312.2
200,Raigad,Energy,1,0,commercial,48.57,2,62.5,0,138.6
76,Palghar,Railways,5,1,residential,15.84,4,88.1,1,249.6
257,Valsad,Energy,0,0,residential,57.8,1,13.9,0,134.8
244,Panna,Energy,0,0,commercial,35.17,4,41.0,1,110.2
155,Thane,Railways,0,0,residential,4.11,1,75.9,0,46.1
287,Ahmedabad,Water,4,0,residential,13.66,4,54.3,0,196.9
96,Surat,Railways,1,0,agricultural,1.2,13,49.7,0,114.3
166,Navsari,Energy,1,0,agricultural,14.1,1,51.6,0,120.5
41,Navsari,Railways,0,0,commercial,65.96,5,12.8,0,63.7
296,Valsad,Energy,4,1,agricultural,32.96,10,29.4,1,307.8
158,Thane,Energy,2,1,agricultural,43.22,14,74.4,1,261.4
146,Sonnagar,Aviation,1,0,commercial,44.29,4,22.5,0,136.8
133,Ahmedabad,Railways,0,0,commercial,12.29,4,10.7,0,92.6
266,Raigad,Railways,0,0,residential,22.92,3,17.2,0,132.4
88,Gautam Buddha Nagar,Railways,5,1,agricultural,36.67,11,92.2,1,288.1
66,Sonnagar,Highways,0,0,residential,66.21,1,14.3,0,62.4
19,Dankuni,Industrial,0,0,agricultural,59.02,6,81.3,0,84.4
172,Gautam Buddha Nagar,Water,0,0,agricultural,4.94,12,26.9,0,116.0
166,Thane,Highways,8,1,residential,11.78,2,4.2,1,293.7
211,Dankuni,Energy,2,0,agricultural,72.18,8,17.8,1,174.9
185,Navsari,Energy,3,1,agricultural,71.7,10,16.1,1,293.0
91,Raigad,Aviation,1,0,commercial,50.17,3,34.4,0,122.7
54,Dankuni,Energy,3,0,commercial,78.25,6,15.6,0,156.5
233,Hooghly,Highways,0,0,agricultural,7.69,3,18.9,0,112.3
226,Ahmedabad,Water,1,0,residential,11.49,2,37.6,0,106.3
132,Hooghly,Industrial,1,0,residential,34.04,2,67.4,0,100.0
257,Thane,Energy,3,0,residential,5.24,3,35.6,1,126.5
88,Raigad,Energy,1,0,commercial,74.54,4,24.6,0,105.4
88,Raigad,Highways,0,0,residential,77.21,3,7.0,0,108.1
30,Hooghly,Industrial,4,1,agricultural,6.78,2,3.2,1,188.9
86,Raigad,Water,1,0,residential,24.31,4,69.2,0,99.2
94,Thane,Energy,2,1,agricultural,48.53,3,48.8,1,219.7
147,Dankuni,Water,1,0,residential,56.89,4,88.6,0,126.3
123,Ahmedabad,Railways,0,0,residential,31.69,1,77.9,0,80.0
99,Dankuni,Water,7,1,commercial,51.91,2,27.1,1,286.9
159,Valsad,Highways,3,1,agricultural,5.69,10,3.0,1,246.8
138,Surat,Aviation,2,1,agricultural,45.32,13,47.0,1,264.5
159,Navsari,Highways,1,0,commercial,25.5,4,69.5,1,104.4
272,Palghar,Energy,4,1,commercial,2.38,4,46.4,1,267.3
252,Raigad,Railways,3,1,residential,76.25,2,84.2,1,252.0
279,Sonnagar,Railways,1,0,residential,42.1,3,43.6,0,153.0
213,Gautam Buddha Nagar,Water,3,1,agricultural,76.66,10,60.4,1,295.4
59,Raigad,Energy,1,0,residential,13.99,3,17.0,0,92.6
250,Palghar,Highways,9,1,agricultural,78.29,13,83.5,1,379.3
35,Palghar,Industrial,0,0,commercial,33.02,5,87.3,0,81.9
57,Gautam Buddha Nagar,Energy,1,0,commercial,21.39,6,6.0,0,87.9
19,Surat,Aviation,3,1,residential,23.61,2,55.0,1,187.0
193,Hooghly,Aviation,1,0,agricultural,72.06,8,12.1,1,157.9
220,Ahmedabad,Water,0,0,agricultural,79.72,8,21.8,0,136.0
94,Hooghly,Highways,0,0,residential,17.47,1,93.9,0,57.6
124,Valsad,Water,2,1,commercial,76.24,6,41.3,1,257.7
222,Raigad,Highways,9,1,commercial,69.77,5,21.9,1,341.8
190,Thane,Highways,0,0,commercial,16.29,4,46.8,0,91.0
214,Sonnagar,Water,1,0,commercial,71.56,2,9.2,0,112.4
177,Valsad,Aviation,9,1,residential,74.74,4,82.4,1,367.4
16,Ahmedabad,Energy,3,0,residential,68.65,4,61.4,0,118.1
294,Sonnagar,Railways,1,0,commercial,17.68,2,90.6,1,128.4
23,Thane,Energy,0,0,commercial,65.61,1,67.0,0,49.5
292,Ahmedabad,Energy,4,0,commercial,27.2,2,44.7,0,197.2
210,Raigad,Industrial,1,0,commercial,54.58,6,28.3,0,112.2
60,Palghar,Highways,1,0,agricultural,33.2,8,71.7,0,85.4
31,Dankuni,Water,3,0,residential,17.34,4,53.3,1,127.1
226,Palghar,Energy,1,0,commercial,62.88,4,2.7,0,149.7
150,Navsari,Energy,3,0,residential,72.79,2,2.4,0,146.1
280,Thane,Railways,1,0,commercial,27.14,5,94.3,1,191.8
216,Surat,Industrial,2,0,residential,46.44,2,89.4,0,158.0
96,Ahmedabad,Energy,0,0,residential,64.19,1,60.7,0,49.3
96,Dankuni,Energy,0,0,residential,7.91,4,3.1,0,60.9
55,Gautam Buddha Nagar,Aviation,0,0,residential,58.87,4,61.0,0,69.9
114,Dankuni,Railways,0,0,commercial,62.51,4,73.6,0,85.4
67,Raigad,Aviation,3,1,agricultural,9.01,5,26.4,1,220.4
66,Valsad,Railways,0,0,commercial,6.35,6,9.1,0,53.9
97,Valsad,Aviation,2,1,commercial,72.34,6,54.8,1,235.4
294,Valsad,Energy,10,1,commercial,59.46,1,19.9,1,361.5
201,Panna,Railways,5,1,agricultural,2.85,3,22.4,1,219.6
117,Navsari,Energy,0,0,commercial,44.34,3,45.4,0,69.5
103,Ahmedabad,Railways,6,1,commercial,76.97,1,56.3,1,256.6
236,Surat,Aviation,0,0,commercial,59.89,3,59.9,0,111.6
47,Gautam Buddha Nagar,Energy,3,0,commercial,76.67,3,56.6,0,160.4
218,Dankuni,Industrial,4,1,commercial,64.82,4,75.6,1,287.9
89,Dankuni,Energy,0,0,commercial,25.83,1,68.7,0,88.8
48,Valsad,Railways,1,0,residential,42.42,1,54.2,0,34.9
230,Dankuni,Highways,0,0,residential,65.16,2,20.3,0,100.6
78,Navsari,Water,1,0,agricultural,47.5,4,55.6,0,122.7
160,Gautam Buddha Nagar,Highways,8,1,commercial,3.44,5,87.4,1,301.2
227,Palghar,Water,0,0,agricultural,60.42,7,9.4,0,114.7
247,Thane,Water,1,0,commercial,72.88,3,89.2,1,154.1
180,Thane,Railways,2,0,agricultural,18.49,2,19.8,0,109.4
41,Panna,Highways,2,1,residential,9.31,3,9.0,0,210.3
102,Ahmedabad,Energy,1,0,residential,10.03,3,82.2,0,47.4
77,Ahmedabad,Aviation,0,0,commercial,38.5,4,92.8,0,104.9
166,Surat,Highways,0,0,commercial,66.93,2,63.3,0,93.1
45,Palghar,Highways,5,1,commercial,37.72,4,19.5,1,247.9
175,Gautam Buddha Nagar,Industrial,0,0,residential,36.59,2,80.8,0,101.2
277,Valsad,Water,8,1,commercial,15.44,3,41.3,1,281.1
90,Gautam Buddha Nagar,Aviation,0,0,agricultural,9.26,1,85.2,0,63.7
195,Dankuni,Industrial,10,1,commercial,7.18,4,21.7,1,337.2
154,Valsad,Highways,0,0,commercial,30.91,4,20.0,0,105.3
267,Navsari,Industrial,0,0,residential,4.46,2,91.2,0,111.4
137,Thane,Industrial,3,1,commercial,22.4,5,67.1,1,246.9
152,Surat,Aviation,0,0,residential,16.68,3,67.6,0,86.6
259,Raigad,Industrial,3,0,residential,55.19,2,31.3,1,173.7
257,Hooghly,Railways,0,0,agricultural,77.96,2,17.9,0,129.9
15,Valsad,Water,0,0,residential,9.2,1,54.8,0,38.9
90,Panna,Industrial,0,0,agricultural,64.41,6,44.1,0,45.0
144,Navsari,Aviation,0,0,commercial,28.53,6,33.0,0,95.4
153,Gautam Buddha Nagar,Water,2,0,agricultural,2.15,7,81.6,0,115.2
235,Hooghly,Highways,2,0,agricultural,15.91,7,61.4,1,141.7
284,Dankuni,Industrial,7,1,commercial,71.1,4,56.8,1,332.6
281,Surat,Highways,2,0,residential,10.28,4,54.7,0,132.3
90,Palghar,Highways,0,0,commercial,77.35,5,53.9,0,118.7
247,Palghar,Energy,6,1,agricultural,66.12,2,6.9,1,325.1
143,Dankuni,Highways,6,1,agricultural,62.93,9,63.9,1,294.0
88,Palghar,Aviation,0,0,commercial,47.03,1,29.0,0,82.7
212,Surat,Aviation,4,0,residential,8.3,3,87.6,0,150.5
86,Ahmedabad,Aviation,0,0,commercial,11.29,5,20.6,0,87.7
108,Dankuni,Water,3,0,residential,35.23,2,51.0,0,103.1
254,Dankuni,Aviation,1,0,commercial,76.94,4,4.6,0,136.9
169,Ahmedabad,Highways,1,0,agricultural,30.16,10,52.5,0,128.3
18,Ahmedabad,Railways,2,0,commercial,41.68,1,9.9,0,136.9
64,Palghar,Energy,1,0,residential,55.4,1,13.3,0,75.7
119,Sonnagar,Highways,1,0,residential,77.4,2,22.8,0,81.3
18,Navsari,Aviation,1,0,commercial,16.46,1,2.0,0,54.0
68,Palghar,Railways,2,0,agricultural,35.78,1,88.1,0,114.5
148,Raigad,Railways,1,0,residential,68.82,1,42.2,0,104.3
102,Sonnagar,Aviation,1,0,agricultural,16.43,8,29.0,0,65.5
155,Hooghly,Energy,1,0,residential,9.03,4,77.7,0,113.2
20,Palghar,Industrial,0,0,commercial,52.21,6,59.6,0,87.3
249,Raigad,Water,4,1,residential,28.94,2,34.4,1,251.6
92,Palghar,Railways,2,0,residential,27.47,2,27.9,0,85.7
262,Ahmedabad,Highways,1,0,residential,52.89,3,14.0,0,182.2
221,Valsad,Industrial,2,1,residential,68.24,2,23.5,1,235.3
133,Dankuni,Water,2,0,commercial,58.75,2,11.8,1,104.0
46,Ahmedabad,Water,0,0,agricultural,67.82,2,43.1,0,93.7
70,Thane,Railways,0,0,commercial,79.12,5,53.8,0,116.4
118,Dankuni,Energy,0,0,agricultural,42.52,13,19.9,0,109.5
32,Dankuni,Highways,3,0,agricultural,29.09,7,54.9,0,106.8
285,Dankuni,Aviation,2,0,residential,45.84,4,48.6,0,193.9
233,Raigad,Highways,3,0,commercial,45.75,2,74.8,1,167.2
291,Surat,Highways,0,0,residential,75.28,3,38.3,0,171.8
288,Raigad,Energy,3,0,agricultural,74.58,9,31.0,0,193.0
149,Palghar,Industrial,0,0,commercial,34.0,2,33.1,0,78.0
46,Panna,Aviation,3,1,commercial,64.55,5,86.1,1,201.5
228,Thane,Energy,1,0,agricultural,6.91,9,46.5,1,157.2
274,Palghar,Highways,7,1,commercial,34.81,3,74.7,1,307.9
288,Thane,Highways,0,0,agricultural,54.85,1,53.4,0,137.3
233,Sonnagar,Railways,0,0,commercial,9.88,5,93.4,0,118.4
133,Ahmedabad,Highways,2,1,agricultural,18.56,12,72.0,1,225.8
142,Thane,Highways,0,0,residential,10.57,2,28.3,0,99.2
218,Surat,Energy,0,0,agricultural,6.61,5,89.3,0,131.7
169,Valsad,Railways,2,0,commercial,23.77,6,24.7,1,122.9
42,Panna,Industrial,0,0,agricultural,76.07,8,28.0,0,108.3
298,Panna,Railways,7,1,commercial,58.13,2,5.3,1,348.1
270,Hooghly,Highways,0,0,agricultural,47.27,5,78.9,0,141.3
24,Gautam Buddha Nagar,Water,0,0,commercial,4.03,2,37.3,0,25.9
292,Dankuni,Energy,3,0,agricultural,72.85,13,85.1,1,204.3
189,Gautam Buddha Nagar,Railways,1,0,agricultural,69.33,13,69.8,1,159.3
162,Palghar,Industrial,3,0,commercial,37.35,5,68.9,0,134.1
136,Ahmedabad,Water,2,1,residential,22.82,3,10.0,1,240.1
34,Valsad,Industrial,0,0,commercial,52.91,6,77.4,0,74.8
150,Gautam Buddha Nagar,Aviation,0,0,commercial,1.87,1,45.4,0,67.4
44,Panna,Railways,0,0,commercial,71.82,5,31.2,0,91.7
80,Navsari,Energy,4,1,commercial,12.18,5,63.0,1,256.5
240,Raigad,Aviation,0,0,residential,57.53,1,90.5,1,114.0
291,Thane,Aviation,1,0,commercial,28.3,1,49.1,0,137.3
205,Surat,Energy,1,0,residential,6.18,4,83.5,0,125.2
206,Valsad,Energy,4,0,commercial,49.94,2,36.3,1,178.4
123,Gautam Buddha Nagar,Highways,1,0,agricultural,62.58,9,74.9,0,90.8
91,Ahmedabad,Industrial,4,0,agricultural,6.74,2,91.2,0,121.3
229,Gautam Buddha Nagar,Aviation,0,0,residential,70.34,1,58.5,0,100.5
165,Valsad,Energy,0,0,agricultural,64.02,6,23.5,0,162.1
224,Sonnagar,Railways,0,0,commercial,40.7,3,62.8,0,100.7
79,Ahmedabad,Railways,0,0,residential,72.79,2,58.3,0,70.1
230,Palghar,Highways,0,0,commercial,39.79,2,85.7,0,108.2
298,Palghar,Water,1,0,commercial,8.53,1,79.5,1,128.0
286,Palghar,Railways,3,0,residential,28.67,4,66.8,1,186.9
70,Valsad,Energy,0,0,residential,59.23,3,90.3,0,68.2
259,Sonnagar,Water,2,0,commercial,58.03,5,87.2,1,162.5
204,Thane,Industrial,1,0,residential,25.97,2,49.3,0,90.6
267,Palghar,Railways,1,0,commercial,71.84,5,49.3,1,151.5
88,Ahmedabad,Energy,5,1,agricultural,34.73,5,55.5,1,247.9
162,Navsari,Railways,9,1,agricultural,18.28,3,28.8,1,279.6
157,Palghar,Railways,5,1,residential,44.4,2,4.5,1,237.8
18,Panna,Industrial,2,0,agricultural,29.88,5,89.6,0,81.3
166,Panna,Railways,2,0,commercial,73.58,1,43.3,0,140.2
74,Raigad,Energy,2,0,residential,59.67,2,69.6,0,128.3
277,Navsari,Water,0,0,residential,55.19,1,42.3,1,111.6
33,Valsad,Railways,1,0,residential,20.05,4,83.1,0,86.9
110,Hooghly,Railways,0,0,commercial,16.29,1,90.4,0,44.1
266,Thane,Water,0,0,agricultural,14.66,7,66.0,0,110.2
262,Surat,Aviation,4,0,commercial,70.29,2,83.4,0,172.4
197,Dankuni,Water,0,0,residential,17.9,3,41.0,0,101.3
252,Ahmedabad,Highways,1,0,agricultural,28.13,7,67.5,0,123.3
135,Hooghly,Industrial,6,1,commercial,40.85,4,7.7,1,262.2
241,Valsad,Water,0,0,commercial,4.84,4,69.7,0,134.3
128,Navsari,Water,0,0,commercial,16.89,6,12.3,1,84.9
25,Raigad,Industrial,0,0,residential,30.65,3,86.8,0,36.3
122,Dankuni,Highways,0,0,residential,12.98,4,82.0,0,111.8
125,Valsad,Energy,0,0,commercial,1.58,1,72.2,0,61.9
159,Hooghly,Highways,0,0,agricultural,61.91,4,5.1,0,75.6
82,Ahmedabad,Aviation,3,0,commercial,69.03,1,8.9,0,96.6
292,Ahmedabad,Highways,0,0,agricultural,59.0,13,38.4,1,141.0
26,Valsad,Water,1,0,residential,8.42,4,37.0,0,74.3
262,Ahmedabad,Industrial,2,0,commercial,40.77,4,3.6,0,156.1
70,Valsad,Industrial,1,0,residential,2.48,2,43.6,0,71.7
57,Navsari,Energy,4,1,agricultural,17.01,8,57.2,1,246.3
134,Hooghly,Industrial,9,1,residential,20.54,3,70.9,1,296.0
223,Sonnagar,Industrial,0,0,residential,17.13,4,52.7,0,130.7
262,Valsad,Water,3,0,residential,79.42,1,87.7,0,179.0
281,Raigad,Highways,0,0,agricultural,35.29,2,5.6,0,126.4
295,Panna,Water,0,0,agricultural,9.85,5,69.0,0,115.4
99,Valsad,Industrial,10,1,commercial,54.96,5,90.5,1,342.0
184,Hooghly,Water,2,0,agricultural,68.27,3,17.3,0,123.9
91,Valsad,Water,4,0,agricultural,0.95,12,19.5,0,134.1
254,Valsad,Highways,0,0,agricultural,51.09,4,34.1,0,129.0
171,Navsari,Water,2,0,residential,74.78,2,9.2,0,163.5
67,Navsari,Railways,10,1,commercial,47.19,4,32.7,1,285.7
257,Navsari,Aviation,2,1,residential,62.78,2,10.5,1,250.8
180,Raigad,Water,2,1,agricultural,11.39,13,42.9,1,245.3
216,Panna,Highways,0,0,agricultural,38.22,5,80.0,0,123.4
157,Gautam Buddha Nagar,Railways,2,0,agricultural,45.06,8,66.6,0,154.4
106,Ahmedabad,Aviation,7,1,commercial,68.5,6,34.2,1,310.3
106,Surat,Water,4,0,commercial,16.07,3,50.9,0,134.0
272,Palghar,Energy,1,0,commercial,3.17,3,61.7,0,160.2
44,Sonnagar,Energy,2,0,commercial,69.12,4,94.7,0,97.2
294,Hooghly,Aviation,0,0,residential,2.79,2,67.6,0,143.1
43,Palghar,Water,2,0,agricultural,25.48,14,52.6,0,128.7
185,Gautam Buddha Nagar,Aviation,2,0,agricultural,25.66,12,17.7,1,156.0
221,Valsad,Industrial,1,0,agricultural,5.39,4,78.7,0,116.1
37,Palghar,Railways,5,1,commercial,55.25,4,18.1,1,211.0
194,Thane,Energy,9,1,commercial,45.67,6,10.0,1,332.5
59,Palghar,Railways,2,1,residential,61.45,1,22.2,1,212.1
112,Sonnagar,Railways,2,0,commercial,25.18,4,67.6,0,121.0
111,Valsad,Water,5,1,agricultural,14.58,5,26.1,1,254.0
193,Valsad,Industrial,1,0,commercial,66.45,6,79.4,1,148.6
122,Ahmedabad,Railways,0,0,residential,51.86,3,21.3,0,71.5
277,Sonnagar,Energy,0,0,agricultural,37.68,1,87.7,0,115.1
180,Hooghly,Railways,0,0,commercial,47.28,1,32.0,0,107.8
258,Thane,Railways,1,0,commercial,8.47,3,30.5,0,125.8
248,Thane,Water,1,0,residential,58.61,4,79.6,0,161.8
220,Valsad,Water,4,0,residential,70.26,1,41.2,1,132.4
98,Ahmedabad,Industrial,3,0,agricultural,70.98,12,89.7,0,215.6
185,Raigad,Railways,0,0,residential,7.69,2,76.5,0,89.1
117,Thane,Aviation,0,0,agricultural,6.89,4,81.8,0,87.2
206,Raigad,Aviation,4,1,residential,27.9,4,53.1,1,272.3
252,Hooghly,Aviation,2,0,commercial,8.12,2,31.6,1,126.1
232,Valsad,Energy,1,0,residential,28.08,1,22.6,0,98.3
271,Valsad,Energy,1,0,commercial,60.26,1,62.0,0,149.2
62,Surat,Energy,1,0,commercial,34.34,3,30.9,0,66.4
98,Navsari,Water,1,0,agricultural,8.96,13,9.7,0,110.9
178,Ahmedabad,Highways,10,1,agricultural,31.03,8,3.1,1,322.9
232,Ahmedabad,Highways,3,1,commercial,48.49,4,48.7,1,239.5
106,Panna,Energy,1,0,agricultural,30.99,11,9.4,1,124.3
116,Sonnagar,Industrial,1,0,commercial,69.84,4,6.5,0,124.9
40,Hooghly,Water,1,0,commercial,20.56,3,64.8,0,69.8
197,Navsari,Railways,0,0,commercial,24.17,1,57.4,0,96.3
104,Sonnagar,Water,3,1,agricultural,10.52,3,60.9,1,222.8
139,Hooghly,Aviation,3,0,residential,74.62,4,5.8,0,158.1
66,Gautam Buddha Nagar,Aviation,4,0,residential,6.76,3,41.3,1,125.9
55,Navsari,Aviation,0,0,residential,9.76,2,55.1,0,53.9
40,Panna,Railways,1,0,residential,60.98,4,27.6,0,82.7
219,Panna,Aviation,1,0,agricultural,22.18,7,21.3,0,107.3
177,Navsari,Energy,5,1,commercial,1.94,3,22.6,1,236.8
230,Gautam Buddha Nagar,Water,0,0,residential,31.43,1,33.9,0,133.9
270,Raigad,Water,4,1,residential,54.0,3,39.5,1,267.8
191,Palghar,Aviation,10,1,commercial,29.85,3,71.8,1,336.3
100,Raigad,Industrial,1,0,residential,33.52,1,71.9,0,116.0
82,Surat,Water,3,0,residential,10.32,4,22.3,1,112.5
220,Raigad,Railways,0,0,residential,17.81,3,31.7,0,109.1
177,Dankuni,Aviation,1,0,residential,18.4,4,48.0,0,118.2
219,Hooghly,Railways,1,0,agricultural,27.06,8,63.0,1,131.1
229,Gautam Buddha Nagar,Aviation,1,0,commercial,49.7,2,58.7,0,129.0
26,Gautam Buddha Nagar,Aviation,0,0,commercial,45.76,4,65.6,0,67.7
297,Gautam Buddha Nagar,Aviation,0,0,commercial,73.1,4,36.3,0,139.6
82,Sonnagar,Railways,3,0,commercial,16.96,4,44.7,0,98.5
271,Surat,Railways,2,0,commercial,67.11,2,24.8,0,154.8
223,Sonnagar,Highways,4,0,residential,69.04,1,74.8,1,167.0
288,Panna,Highways,0,0,residential,66.31,1,29.2,0,152.0
276,Thane,Energy,0,0,commercial,63.1,1,15.6,0,161.3
202,Palghar,Aviation,0,0,agricultural,73.08,13,46.9,0,171.3
266,Sonnagar,Highways,2,0,commercial,27.72,6,43.4,1,131.4
33,Gautam Buddha Nagar,Energy,0,0,residential,23.43,2,83.9,0,43.6
171,Navsari,Aviation,0,0,agricultural,23.94,12,76.9,0,142.1
131,Ahmedabad,Energy,5,1,residential,46.87,2,56.3,1,287.2
259,Sonnagar,Industrial,0,0,commercial,27.86,2,56.6,0,112.7
101,Ahmedabad,Water,1,0,residential,38.98,4,3.3,0,94.4
91,Navsari,Railways,3,1,agricultural,52.17,6,48.4,1,229.8
131,Thane,Aviation,0,0,residential,3.11,1,90.5,0,66.8
55,Panna,Aviation,0,0,residential,45.55,2,24.8,0,58.0
248,Dankuni,Railways,6,1,agricultural,44.38,2,71.1,1,258.8
46,Raigad,Industrial,5,1,commercial,47.06,5,46.4,1,269.4
